swVersion	productClass	wifiType	operator	province	chipset	chipsetDate	midware	midwareDate	author	firmwareDate	noteAddr	firmwareAddr
S-010W-A_SW_A_ZY_CUSC_R1.01.17	S-010W-A	RTL8189ETV	CU	sc	RK3228B	20171209	noMidware	20171209	李滨伟	20180208	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078235_FCZZA&edition=01P12	\\\\172.24.170.213\\stb\\IP_STB现场版本\\四川联通standalone
G-120WT-P_SW_A_ZY_CTGX_R1.00.01	G-120WT-P	MTK7526FU	CT	gx	RK3228B	20180208	SUYING	20180208	李亚飞	20180208	https://ct.web.alcatel-lucent.com/scm-lib4/show-entry.cgi?number=3HH-13864-8003-FCZZA	172.24.170.213\\stb\\IP_STB现场版本\\广西电信\\
G-120WT-P_SW_A_ZY_CTLN_R1.01.08	G-120WT-P	MTK7526FU	CT	ln	RK3228B	20180126	noMidware	20180208	李滨伟	20180208	https://ct.web.alcatel-lucent.com/scm-lib4/show-entry.cgi?number=3HH-13864-8201-FCZZA	\\\\172.24.170.213\\stb\\IP_STB现场版本\\二合一辽宁电信
G-120WT-P_SW_A_ZY_CTSX_R1.00.03	G-120WT-P	MTK7526FU	CT	sx	RK3228B	20180207	SUYING	20180118	姜良超	20180208	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078260_FCZZA&amp;edition=01P04	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一山西电信
S-010W-A_SW_A_ZY_CUHN_R2.01.03	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20180205	suying	20180205	童维青	2018-02-06	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8244-FCZZA#02P035	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
S-010W-A_SW_A_ZY_CUHN_R2.01.04	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20180205	suying	20180206	童维青	2018-02-06	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8244-FCZZA#01P08	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
S-010W-A_SW_A_ZY_CUHN_R2.02.02	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20180206	suying	20180206	童维青	2018-02-06	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8018-FCZZA#02P26	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
S-010W-AV2_SW_E_ZY_CUHN_R1.00.01	S-010W-AV2	RTL8822BS	CU	hn	RK3228H	20180131	suying	20180131	童维青	2018-01-31	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078018_FCZZA#01P01	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
S-010W-AV2S_SW_C_ZY_CUNM_R1.00.04	S-010W-AV2S	NOWIFI	CU	nm	RK3228H	20180130	suying	20180130	李亚飞	2018-01-30	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8261-fczza#P04	http://172.24.170.213/E%3A/stb/IP_STB现场版本/S-010W-AV2S内蒙联通
S-010W-AV2S_SW_C_ZY_CUNM_R2.00.04	S-010W-AV2S	NOWIFI	CU	nm	RK3228H	20180130	suying	20180130	李亚飞	2018-01-30	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8261-fczza#P04	http://172.24.170.213/E%3A/stb/IP_STB现场版本/S-010W-AV2S内蒙联通
S-010W-A_SW_A_ZY_CUHN_R2.01.02	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20180120	suying	20180129	童维青	2018-01-29	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8244-FCZZA#02P006	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
S-010W-A_SW_A_ZY_CUHN_R2.02.01	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20180120	suying	20180129	童维青	2018-01-29	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8018-FCZZA#02P035	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
S-010W-A_SW_A_ZY_CUSD_R1.01.22	S-010W-A	RTL8189ETV	CU	sd	RK3228B	20180126	suying	20180126	张丛静	2018-01-26	https://ct.web.alcatel-lucent.com/scm-lib4/show-entry.cgi?number=3HH139168014_FCZZA#02P06	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山东联通
G-120WT-P_SW_A_ZY_CTLN_R1.01.05	G-120WT-P	MTK7526FU	CT	ln	RK3228B	20180126	suying	20180126	李亚飞	2018-01-26	https://ct.web.alcatel-lucent.com/scm-lib4/show-entry.cgi?number=3HH138648201_FCZZA#01P12	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一辽宁电信
G-120WT-P_SW_A_ZY_CTLN_R1.01.06	G-120WT-P	MTK7526FU	CT	ln	RK3228B	20180126	suying	20180126	李亚飞	2018-01-26	https://ct.web.alcatel-lucent.com/scm-lib4/show-entry.cgi?number=3HH138648201_FCZZA#01P13	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一辽宁电信
S-010W-AV2B_SW_D_ZY_CUSD_R1.01.17	S-010W-AV2B	8189FTV	CU	sd	RK3228H	20171216	suying	20180125	童维青	2018-01-25	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8243-FCZZA#01P04	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山东联通
S-010W-AV2S_SW_C_ZY_CUNM_R1.00.02	S-010W-AV2S	NOWIFI	CU	nm	RK3228H	20180125	suying	20180125	李亚飞	2018-01-25	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8261-fczza#P02	http://172.24.170.213/E%3A/stb/IP_STB现场版本/S-010W-AV2S内蒙联通
S-010W-AV2S_SW_C_ZY_CUNM_R2.00.02	S-010W-AV2S	NOWIFI	CU	nm	RK3228H	20180125	suying	20180125	李亚飞	2018-01-25	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8261-fczza#P02	http://172.24.170.213/E%3A/stb/IP_STB现场版本/S-010W-AV2S内蒙联通
S-010W-A_SW_A_ZY_CUHN_R2.01.01	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20180120	suying	20180124	童维青	2018-01-24	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8244-FCZZA#02P005	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
S-010W-AV2S_SW_C_ZY_CUNM_R2.00.01	S-010W-AV2S	NOWIFI	CU	nm	RK3228H	20180117	suying	20180117	李亚飞	2018-01-17	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8261-fczza#P01	http://172.24.170.213/E%3A/stb/IP_STB现场版本/S-010W-AV2S内蒙联通
RG020ET-CA_SW_B_ZY_CTGS_R1.00.05	RG020ET-CA	RTL8676	CT	gs	S905L	20180116	suying	20180116	李亚飞	2018-01-16	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94219-9005-DRZZA#01P05	http://172.24.170.213/E%3A/stb/IP_STB现场版本/甘肃电信LAN上行
RG020ET-CA_SW_B_ZY_CUSD_R1.00.04	RG020ET-CA	RTL8676	CU	sd	S905L	20180104	suying	20180115	吴凯利	2018-01-16	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94219-8002-FCZZA#01P03	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山东联通LAN上行
S-010W-AV2A_SW_G_ZY_CTJC_R1.00.05.img	S-010W-AV2A	RTL8822BS	CT	sh	S905L	20180102	suying	20180112	吴凯利	2018-01-16	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8264-FCZZA#01P01	http://172.24.170.213/E%3A/stb/IP_STB现场版本/上海电信
RG020ET-CA_SW_B_ZY_CTJL_R1.01.07	RG020ET-CA	RTL8676	CT	jl	S905L		suying	20180112	吴凯利	2018-01-15	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94219-8201-FCZZA#01P05	http://172.24.170.213/E%3A/stb/IP_STB现场版本/吉林电信LAN上行
S-010W-A_SW_D_ZY_CUBJ_R1.01.06	S-010W-A	8189FTV	CU	bj	RK3228H	20171201	suying	20180111	童维青	2018-01-11	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8247-FCZZA#01P08	http://172.24.170.213/E%3A/stb/IP_STB现场版本/S-010W-AV2B北京联通
